0 0
30 182840
60 189607
90 171173
120 188627
150 175887
180 139067
210 159880
240 187460
270 185313
300 123480
330 131880
360 175933
390 169213
420 211820
450 151153
480 183120
510 114613
540 217793
570 157453
600 194460
630 198893
660 197867
690 165760
720 213080
750 185127
780 190353
810 205240
840 165387
870 186200
900 202393
930 165200
960 230767
990 250647
1020 231233
1050 153720
1080 192920
1110 211120
1140 235340
1170 233053
1200 244440
1230 206873
1260 219520
1290 231607
1320 218447
1350 187087
1380 257040
1410 234127
1440 221153
1470 265020
1500 265300
1530 290593
1560 270807
1590 323540
1620 300860
1650 162680
1680 216673
1710 241127
1740 251487
1770 272673
1800 295493
1830 291107
1860 295073
1890 292647
1920 304080
1950 287513
1980 326993
2010 239960
2040 342767
2070 301840
2100 293627
2130 361900
2160 352753
2190 339033
2220 356533
2250 274867
2280 258020
2310 327973
2340 390553
2370 375947
2400 390880
2430 405673
2460 481553
2490 474273
2520 411787
2550 466853
2580 466060
2610 477307
2640 511840
2670 502740
2700 503440
2730 539140
2760 741860
2790 595420
2820 689547
2850 675033
2880 632427
2910 713860
2940 662713
2970 601580
3000 623887
3000 0
