0 0
30 280
60 700
90 467
120 653
150 1260
180 2100
210 11247
240 21140
270 32620
300 30053
330 26320
360 18713
390 73313
420 7093
450 15493
480 46807
510 5367
540 32013
570 10920
600 16613
630 70420
660 13113
690 86287
720 32667
750 40600
780 6113
810 39807
840 7513
870 15587
900 7467
930 29260
960 29913
990 40600
1020 36307
1050 19833
1080 19273
1110 45733
1140 6627
1170 53387
1200 10500
1230 29633
1260 45033
1290 16847
1320 39013
1350 16847
1380 13907
1410 24687
1440 32060
1470 26787
1500 17733
1530 22587
1560 5693
1590 36493
1620 27393
1650 11760
1680 14607
1710 31453
1740 12133
1770 7747
1800 19413
1830 15400
1860 17827
1890 9147
1920 17313
1950 21980
1980 18060
2010 33460
2040 8913
2070 16707
2100 29540
2130 29960
2160 8820
2190 15960
2220 17360
2250 15353
2280 25853
2310 628787
2340 1317820
2370 1469393
2400 72800
2400 0
