0 0
30 280
60 700
90 513
120 607
150 1260
180 4153
210 9287
240 13207
270 42980
300 32107
330 35467
360 23287
390 83067
420 9193
450 12647
480 52033
510 6113
540 32947
570 11480
600 35420
630 93987
660 13160
690 119793
720 35747
750 53667
780 9940
810 48253
840 8307
870 19133
900 7840
930 31687
960 30753
990 47787
1020 38687
1050 20393
1080 11760
1110 49887
1140 6720
1170 58007
1200 10267
1230 30007
1260 46947
1290 18013
1320 40973
1350 17920
1380 13487
1410 24453
1440 31593
1470 26833
1500 18620
1530 24687
1560 5693
1590 38920
1620 28467
1650 11760
1680 14747
1710 33973
1740 11667
1770 7840
1800 19693
1830 16007
1860 17827
1890 9147
1920 17407
1950 22213
1980 18060
2010 34067
2040 9287
2070 16800
2100 29587
2130 30147
2160 8727
2190 16147
2220 17360
2250 15680
2280 25807
2310 643207
2340 1342647
2370 1508127
2400 65147
2400 0
