0 0
30 91420
60 64307
90 43400
120 67760
150 88760
180 64353
210 89320
240 65847
270 70187
300 86567
330 66267
360 93240
390 93427
420 65660
450 65847
480 92727
510 69813
540 89973
570 89227
600 64120
630 92027
660 91840
690 67480
720 92120
750 64120
780 90300
810 91420
840 69860
870 90673
900 89413
930 92260
960 92073
990 67993
1020 67573
1050 87173
1080 68413
1110 88947
1140 66873
1170 86240
1200 72520
1230 63513
1260 91420
1290 81853
1320 65847
1350 88433
1380 68413
1410 68693
1440 91280
1470 90347
1500 60387
1530 114240
1560 65053
1590 93520
1620 82927
1650 89320
1680 80407
1710 92913
1740 88013
1770 93847
1800 110600
1830 90253
1860 69067
1890 90347
1920 110787
1950 90020
1980 91140
2010 86613
2040 91887
2070 114520
2100 85307
2130 91700
2160 91840
2190 92167
2220 89833
2250 114800
2280 92353
2310 93753
2340 90020
2370 108827
2400 91560
2430 100240
2460 89133
2490 112840
2520 91560
2550 114520
2580 91933
2610 114660
2640 114333
2670 91653
2700 114660
2730 113120
2760 93380
2790 115453
2820 89647
2850 82133
2880 90813
2910 107567
2940 87733
2970 136500
3000 91840
3030 136780
3060 91140
3090 137527
3120 91093
3150 137760
3180 92680
3210 115220
3240 114333
3270 115267
3300 105793
3330 113960
3360 114753
3390 114753
3420 84980
3450 117787
3480 112793
3510 109807
3540 113493
3570 114473
3600 109480
3630 139627
3660 113447
3690 114753
3720 113307
3750 135893
3780 115780
3810 108873
3840 112140
3870 135193
3900 116060
3930 115547
3960 107847
3990 90767
4020 87360
4050 115500
4080 111673
4110 138553
4140 113633
4170 138833
4200 133373
4230 137200
4260 133747
4290 138413
4320 136547
4350 138273
4380 108547
4410 115640
4440 110880
4470 134027
4500 114100
4530 114193
4560 135940
4590 114800
4620 83813
4650 136033
4680 114753
4710 138833
4740 112000
4770 138600
4800 134633
4830 136500
4860 136313
4890 138787
4920 136127
4950 133280
4980 136127
5010 115687
5040 134820
5070 129313
5100 137247
5130 162773
5160 138367
5190 161513
5220 137527
5250 158527
5280 161607
5310 157967
5340 140280
5370 162027
5400 163147
5430 156240
5460 136173
5490 159087
5520 181860
5550 159787
5580 150267
5610 181393
5640 159600
5670 186293
5700 155820
5730 184520
5760 182280
5790 184753
5820 156147
5850 207387
5880 156240
5910 183493
5940 157967
5970 158667
6000 179200
6030 155447
6060 179200
6090 181207
6120 181113
6150 176633
6180 158480
6210 179247
6240 157640
6270 154000
6300 181020
6330 201040
6360 178733
6390 202440
6420 131413
6450 178733
6480 200200
6510 202627
6540 230207
6570 206920
6600 227453
6630 248080
6660 203513
6690 228153
6720 224467
6750 250740
6780 230860
6810 244347
6840 218727
6870 272300
6900 252980
6930 274400
6960 260727
6990 274633
7020 247147
7050 267587
7080 273887
7110 288820
7140 319340
7170 319480
7200 336747
7230 343373
7260 367313
7290 361993
7320 338613
7350 411880
7380 385187
7410 434747
7440 405487
7470 521873
7500 437920
7530 548240
7560 531767
7560 0
